C;Fold;Accuracy;Precision;Recall;F Measure
0.5;1.0;0.79853;0.82982;0.75565;0.77804
0.5;2.0;0.78652;0.76107;0.77488;0.75844
0.5;3.0;0.82397;0.85445;0.77491;0.8006
0.5;4.0;0.79167;0.78404;0.74673;0.76141
0.5;5.0;0.82625;0.87279;0.79354;0.81831
1.0;1.0;0.80952;0.83342;0.80737;0.81532
1.0;2.0;0.79401;0.76195;0.77867;0.76203
1.0;3.0;0.83895;0.86755;0.7885;0.81339
1.0;4.0;0.7803;0.74564;0.70061;0.71495
1.0;5.0;0.82625;0.86797;0.84922;0.85021
1.5;1.0;0.80586;0.83142;0.80337;0.81302
1.5;2.0;0.79775;0.79783;0.77336;0.77545
1.5;3.0;0.82397;0.8521;0.77784;0.80032
1.5;4.0;0.7803;0.74335;0.70099;0.7144
1.5;5.0;0.83784;0.87281;0.85743;0.85785
2.0;1.0;0.79487;0.82308;0.79328;0.8032
2.0;2.0;0.79775;0.79783;0.77336;0.77545
2.0;3.0;0.81648;0.8468;0.77026;0.79382
2.0;4.0;0.7803;0.74335;0.70099;0.7144
2.0;5.0;0.83398;0.87166;0.85326;0.85516
2.5;1.0;0.79487;0.82308;0.79328;0.8032
2.5;2.0;0.79775;0.79783;0.77336;0.77545
2.5;3.0;0.81648;0.8468;0.77026;0.79382
2.5;4.0;0.7803;0.74335;0.70099;0.7144
2.5;5.0;0.83398;0.87166;0.85326;0.85516
3.0;1.0;0.79487;0.82308;0.79328;0.8032
3.0;2.0;0.79775;0.79783;0.77336;0.77545
3.0;3.0;0.81648;0.8468;0.77026;0.79382
3.0;4.0;0.7803;0.74335;0.70099;0.7144
3.0;5.0;0.83398;0.87166;0.85326;0.85516
