Max Iter;Fold;Accuracy;Precision;Recall;F Measure
250.0;1.0;0.69963;0.67543;0.674;0.66246
250.0;2.0;0.62921;0.57297;0.5811;0.56168
250.0;3.0;0.66292;0.65433;0.5945;0.59888
250.0;4.0;0.62879;0.58721;0.58075;0.56117
250.0;5.0;0.6834;0.68391;0.66968;0.65827
500.0;1.0;0.70696;0.68094;0.6774;0.66849
500.0;2.0;0.62921;0.58028;0.5811;0.56319
500.0;3.0;0.66292;0.65444;0.5945;0.59845
500.0;4.0;0.63258;0.5904;0.58193;0.56349
500.0;5.0;0.68726;0.69237;0.67468;0.66432
750.0;1.0;0.70696;0.68094;0.6774;0.66849
750.0;2.0;0.62921;0.57219;0.5811;0.56088
750.0;3.0;0.66292;0.65444;0.5945;0.59845
750.0;4.0;0.63258;0.58906;0.58193;0.56344
750.0;5.0;0.68726;0.69237;0.67468;0.66432
1000.0;1.0;0.70696;0.68094;0.6774;0.66849
1000.0;2.0;0.62921;0.58028;0.5811;0.56319
1000.0;3.0;0.66292;0.65444;0.5945;0.59845
1000.0;4.0;0.63258;0.58906;0.58193;0.56344
1000.0;5.0;0.68726;0.69237;0.67468;0.66432
1500.0;1.0;0.70696;0.68094;0.6774;0.66849
1500.0;2.0;0.62921;0.58028;0.5811;0.56319
1500.0;3.0;0.66292;0.65444;0.5945;0.59845
1500.0;4.0;0.63258;0.58906;0.58193;0.56344
1500.0;5.0;0.68726;0.69237;0.67468;0.66432
2000.0;1.0;0.70696;0.68094;0.6774;0.66849
2000.0;2.0;0.62921;0.58028;0.5811;0.56319
2000.0;3.0;0.66292;0.65444;0.5945;0.59845
2000.0;4.0;0.63258;0.58906;0.58193;0.56344
2000.0;5.0;0.68726;0.69237;0.67468;0.66432
5000.0;1.0;0.70696;0.68094;0.6774;0.66849
5000.0;2.0;0.62921;0.58028;0.5811;0.56319
5000.0;3.0;0.66292;0.65444;0.5945;0.59845
5000.0;4.0;0.63258;0.58906;0.58193;0.56344
5000.0;5.0;0.68726;0.69237;0.67468;0.66432
